TO,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserverd,Current Status
CLK,,PIN_V11,3B,B3B_N0,3.3-V LVTTL,,
LED_OUT[0],,PIN_W15,5A,B5A_N0,3.3-V LVTTL,,
LED_OUT[1],,PIN_AA24,5A,B5A_N1,3.3-V LVTTL,,
LED_OUT[2],,PIN_V16,5A,B5A_N2,3.3-V LVTTL,,
LED_OUT[3],,PIN_V15,5A,B5A_N3,3.3-V LVTTL,,
LED_OUT[4],,PIN_AF26,5A,B5A_N4,3.3-V LVTTL,,
LED_OUT[5],,PIN_AE26,5A,B5A_N5,3.3-V LVTTL,,
LED_OUT[6],,PIN_Y16,5A,B5A_N6,3.3-V LVTTL,,
LED_OUT[7],,PIN_AA23,5A,B5A_N7,3.3-V LVTTL,,
ENABLE,,PIN_Y24,5B,B5B_N7,3.3-V LVTTL,,
