TO,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserverd,Current Status
clk,,PIN_V11,3B,B3B_N0,3.3-V LVTTL,,
reset,,PIN_Y24,5B,B5B_N7,3.3-V LVTTL,,
btn[0],,PIN_AH17,,,3.3-V LVTTL,,
btn[1],,PIN_AH16,,,3.3-V LVTTL,,
led[0],,PIN_W15,,,3.3-V LVTTL,,
led[1],,PIN_AA24,,,3.3-V LVTTL,,
led[2],,PIN_V16,,,3.3-V LVTTL,,
led[3],,PIN_V15,,,3.3-V LVTTL,,
led[4],,PIN_AF26,,,3.3-V LVTTL,,
led[5],,PIN_AE26,,,3.3-V LVTTL,,
led[6],,PIN_Y16,,,3.3-V LVTTL,,
led[7],,PIN_AA23,,,3.3-V LVTTL,,
sw[0],,PIN_W24,,,3.3-V LVTTL,,
sw[1],,PIN_W21,,,3.3-V LVTTL,,
sw[2],,PIN_W20,,,3.3-V LVTTL,,
